No.,Starting_Point,Hub_Names_Starting,Ending_Point,Hub_Names_Ending,Distance
211,Taiwan,Taiwan Taoyuan International Airport (TPE),Vietnam,Tan Son Nhat International Airport (SGN),2204
212,Taiwan,Taiwan Taoyuan International Airport (TPE),Bangladesh,Hazrat Shahjalal International Airport (DAC),3122
213,Taiwan,Taiwan Taoyuan International Airport (TPE),Pakistan,Jinnah International Airport (KHI),5420
214,Taiwan,Taiwan Taoyuan International Airport (TPE),UAE,Dubai International Airport (DXB),6567
215,Taiwan,Taiwan Taoyuan International Airport (TPE),Qatar,Hamad International Airport (DOH),6930
216,Taiwan,Taiwan Taoyuan International Airport (TPE),Turkey,Istanbul Airport (IST),8413
217,Taiwan,Taiwan Taoyuan International Airport (TPE),Saudi Arabia,King Abdulaziz International Airport (JED),8263
218,Japan,Narita International Airport (NRT),Hong Kong,Hong Kong International Airport (HKG),2965
219,Japan,Narita International Airport (NRT),China,Shanghai Pudong International Airport (PVG),1799
220,Japan,Narita International Airport (NRT),China,Guangzhou Baiyun International Airport (CAN),2947
221,Japan,Narita International Airport (NRT),China,Beijing Capital International Airport (PEK),2140
222,Japan,Narita International Airport (NRT),South Korea,Incheon International Airport (ICN),1261
223,Japan,Narita International Airport (NRT),Singapore,Singapore Changi Airport (SIN),5351
224,Japan,Narita International Airport (NRT),Taiwan,Taiwan Taoyuan International Airport (TPE),2183
225,Japan,Narita International Airport (NRT),Japan,Tokyo Haneda Airport (HND),60
226,Japan,Narita International Airport (NRT),Malaysia,Kuala Lumpur International Airport (KUL),5404
227,Japan,Narita International Airport (NRT),Thailand,Bangkok Suvarnabhumi Airport (BKK),4650
228,Japan,Narita International Airport (NRT),India,Delhi Indira Gandhi International Airport (DEL),5922
229,Japan,Narita International Airport (NRT),India,Chennai International Airport (MAA),6499
230,Japan,Narita International Airport (NRT),Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),5826
231,Japan,Narita International Airport (NRT),Philippines,Manila Ninoy Aquino International Airport (MNL),3047
232,Japan,Narita International Airport (NRT),Vietnam,Tan Son Nhat International Airport (SGN),4382
233,Japan,Narita International Airport (NRT),Bangladesh,Hazrat Shahjalal International Airport (DAC),4954
234,Japan,Narita International Airport (NRT),Pakistan,Jinnah International Airport (KHI),6986
235,Japan,Narita International Airport (NRT),UAE,Dubai International Airport (DXB),7994
236,Japan,Narita International Airport (NRT),Qatar,Hamad International Airport (DOH),8313
237,Japan,Narita International Airport (NRT),Turkey,Istanbul Airport (IST),9000
238,Japan,Narita International Airport (NRT),Saudi Arabia,King Abdulaziz International Airport (JED),9585
239,Japan,Tokyo Haneda Airport (HND),Hong Kong,Hong Kong International Airport (HKG),2904
240,Japan,Tokyo Haneda Airport (HND),China,Shanghai Pudong International Airport (PVG),1740
241,Japan,Tokyo Haneda Airport (HND),China,Guangzhou Baiyun International Airport (CAN),2886
242,Japan,Tokyo Haneda Airport (HND),China,Beijing Capital International Airport (PEK),2097
243,Japan,Tokyo Haneda Airport (HND),South Korea,Incheon International Airport (ICN),1213
244,Japan,Tokyo Haneda Airport (HND),Singapore,Singapore Changi Airport (SIN),5292
245,Japan,Tokyo Haneda Airport (HND),Taiwan,Taiwan Taoyuan International Airport (TPE),2123
246,Japan,Tokyo Haneda Airport (HND),Japan,Narita International Airport (NRT),60
247,Japan,Tokyo Haneda Airport (HND),Malaysia,Kuala Lumpur International Airport (KUL),5344
248,Japan,Tokyo Haneda Airport (HND),Thailand,Bangkok Suvarnabhumi Airport (BKK),4589
249,Japan,Tokyo Haneda Airport (HND),India,Delhi Indira Gandhi International Airport (DEL),5872
250,Japan,Tokyo Haneda Airport (HND),India,Chennai International Airport (MAA),6441
251,Japan,Tokyo Haneda Airport (HND),Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),5770
252,Japan,Tokyo Haneda Airport (HND),Philippines,Manila Ninoy Aquino International Airport (MNL),2991
253,Japan,Tokyo Haneda Airport (HND),Vietnam,Tan Son Nhat International Airport (SGN),4322
254,Japan,Tokyo Haneda Airport (HND),Bangladesh,Hazrat Shahjalal International Airport (DAC),4899
255,Japan,Tokyo Haneda Airport (HND),Pakistan,Jinnah International Airport (KHI),6937
256,Japan,Tokyo Haneda Airport (HND),UAE,Dubai International Airport (DXB),7949
257,Japan,Tokyo Haneda Airport (HND),Qatar,Hamad International Airport (DOH),8270
258,Japan,Tokyo Haneda Airport (HND),Turkey,Istanbul Airport (IST),8978
259,Japan,Tokyo Haneda Airport (HND),Saudi Arabia,King Abdulaziz International Airport (JED),9544
260,Malaysia,Kuala Lumpur International Airport (KUL),Hong Kong,Hong Kong International Airport (HKG),2535
261,Malaysia,Kuala Lumpur International Airport (KUL),China,Shanghai Pudong International Airport (PVG),3787
